Дата	Продукты	Вкусняшки	Бытовые вещи	Лекарства	Больницы	Спорт	Квартира	Досуг	Одежда	Проезд	Другое	Ипотека	Свадьба	Отпуск	
Август 2023															
01.08.2023				520,80											
02.08.2023													4 580,00		
03.08.2023		109,00							268,00			2 816,00			
04.08.2023	1 339,80	116,48									628,00		1 954,97		
05.08.2023	513,93							700,00							
06.08.2023	421,98	117,00	570,70					900,00	585,00				6 000,00		
07.08.2023	402,64						3 237,61								
08.08.2023											590,00			12 400,00	
09.08.2023	369,70	136,99							415,00				1 863,86		
10.08.2023		180,00		1 211,00		1 000,00					600,00				
11.08.2023				500,00						295,00			11 885,00		
12.08.2023	1 006,88	47,99													
13.08.2023	6 256,03	128,00								230,00			16 000,00		
14.08.2023													1 000,00		
15.08.2023															
16.08.2023															
17.08.2023															
18.08.2023															
19.08.2023															
20.08.2023															
21.08.2023															
22.08.2023															
23.08.2023															
24.08.2023															
25.08.2023															
26.08.2023															
27.08.2023															
28.08.2023															
29.08.2023															
30.08.2023															
31.08.2023															
	10 310,96	835,46	570,70	2 231,80	0,00	1 000,00	3 237,61	1 600,00	1 268,00	525,00	1 818,00	2 816,00	43 283,83	12 400,00	81 897,36
